,Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
3587,1/10/2021,24:00:00,N,SPP_MEAN,34.59130678
3602,1/11/2021,1:00,N,SPP_MEAN,33.79417802
3617,1/11/2021,2:00,N,SPP_MEAN,29.56201041
3632,1/11/2021,3:00,N,SPP_MEAN,27.2342543
3647,1/11/2021,4:00,N,SPP_MEAN,26.15241014
3662,1/11/2021,5:00,N,SPP_MEAN,24.62851961
3677,1/11/2021,6:00,N,SPP_MEAN,21.69882444
3692,1/11/2021,7:00,N,SPP_MEAN,22.01342127
3707,1/11/2021,8:00,N,SPP_MEAN,20.88650881
3722,1/11/2021,9:00,N,SPP_MEAN,21.48183811
3737,1/11/2021,10:00,N,SPP_MEAN,21.48019203
3752,1/11/2021,11:00,N,SPP_MEAN,22.16640299
3767,1/11/2021,12:00,N,SPP_MEAN,25.17645481
3782,1/11/2021,13:00,N,SPP_MEAN,31.70320478
3797,1/11/2021,14:00,N,SPP_MEAN,33.72604235
3812,1/11/2021,15:00,N,SPP_MEAN,29.24122067
3827,1/11/2021,16:00,N,SPP_MEAN,31.64556902
3842,1/11/2021,17:00,N,SPP_MEAN,31.97730988
3857,1/11/2021,18:00,N,SPP_MEAN,27.35668638
3872,1/11/2021,19:00,N,SPP_MEAN,24.68444837
3887,1/11/2021,20:00,N,SPP_MEAN,23.02630924
3902,1/11/2021,21:00,N,SPP_MEAN,22.6939448
3917,1/11/2021,22:00,N,SPP_MEAN,22.13137401
3932,1/11/2021,23:00,N,SPP_MEAN,24.51560801
3947,1/11/2021,24:00:00,N,SPP_MEAN,28.77167291
3962,1/12/2021,1:00,N,SPP_MEAN,26.37886127
3977,1/12/2021,2:00,N,SPP_MEAN,21.19679608
3992,1/12/2021,3:00,N,SPP_MEAN,18.37027139
4007,1/12/2021,4:00,N,SPP_MEAN,16.96210782
4022,1/12/2021,5:00,N,SPP_MEAN,15.89395564
4037,1/12/2021,6:00,N,SPP_MEAN,13.77750455
4052,1/12/2021,7:00,N,SPP_MEAN,15.75213005
4067,1/12/2021,8:00,N,SPP_MEAN,16.94714638
4082,1/12/2021,9:00,N,SPP_MEAN,17.81885463
4097,1/12/2021,10:00,N,SPP_MEAN,19.75611254
4112,1/12/2021,11:00,N,SPP_MEAN,21.25556949
4127,1/12/2021,12:00,N,SPP_MEAN,24.63470906
4142,1/12/2021,13:00,N,SPP_MEAN,30.37447452
4157,1/12/2021,14:00,N,SPP_MEAN,31.75109163
4172,1/12/2021,15:00,N,SPP_MEAN,32.40999315
4187,1/12/2021,16:00,N,SPP_MEAN,37.36677744
4202,1/12/2021,17:00,N,SPP_MEAN,37.70977145
4217,1/12/2021,18:00,N,SPP_MEAN,31.00828371
4232,1/12/2021,19:00,N,SPP_MEAN,27.30486001
4247,1/12/2021,20:00,N,SPP_MEAN,25.62955566
4262,1/12/2021,21:00,N,SPP_MEAN,24.69957941
4277,1/12/2021,22:00,N,SPP_MEAN,23.06695689
4292,1/12/2021,23:00,N,SPP_MEAN,24.06709105
4307,1/12/2021,24:00:00,N,SPP_MEAN,27.40213077
4322,1/13/2021,1:00,N,SPP_MEAN,23.85232797
4337,1/13/2021,2:00,N,SPP_MEAN,19.2191119
4352,1/13/2021,3:00,N,SPP_MEAN,17.7843094
4367,1/13/2021,4:00,N,SPP_MEAN,14.35374461
4382,1/13/2021,5:00,N,SPP_MEAN,10.65030963
4397,1/13/2021,6:00,N,SPP_MEAN,8.226969948
4412,1/13/2021,7:00,N,SPP_MEAN,12.99346316
4427,1/13/2021,8:00,N,SPP_MEAN,14.12338837
4442,1/13/2021,9:00,N,SPP_MEAN,15.44631435
4457,1/13/2021,10:00,N,SPP_MEAN,17.50783666
4472,1/13/2021,11:00,N,SPP_MEAN,18.4844854
4487,1/13/2021,12:00,N,SPP_MEAN,20.35355915
4502,1/13/2021,13:00,N,SPP_MEAN,26.41724043
4517,1/13/2021,14:00,N,SPP_MEAN,28.63052392
4532,1/13/2021,15:00,N,SPP_MEAN,24.8969965
4547,1/13/2021,16:00,N,SPP_MEAN,30.88755785
4562,1/13/2021,17:00,N,SPP_MEAN,34.08723194
4577,1/13/2021,18:00,N,SPP_MEAN,27.71520001
4592,1/13/2021,19:00,N,SPP_MEAN,24.18946923
4607,1/13/2021,20:00,N,SPP_MEAN,21.77092431
4622,1/13/2021,21:00,N,SPP_MEAN,21.79612916
4637,1/13/2021,22:00,N,SPP_MEAN,20.2053562
4652,1/13/2021,23:00,N,SPP_MEAN,21.60941507
4667,1/13/2021,24:00:00,N,SPP_MEAN,23.50800705
4682,1/14/2021,1:00,N,SPP_MEAN,20.14900714
4697,1/14/2021,2:00,N,SPP_MEAN,17.1264554
4712,1/14/2021,3:00,N,SPP_MEAN,14.65541147
4727,1/14/2021,4:00,N,SPP_MEAN,13.19022071
4742,1/14/2021,5:00,N,SPP_MEAN,9.763087798
4757,1/14/2021,6:00,N,SPP_MEAN,4.778159869
4772,1/14/2021,7:00,N,SPP_MEAN,9.333167602
4787,1/14/2021,8:00,N,SPP_MEAN,7.541029227
4802,1/14/2021,9:00,N,SPP_MEAN,8.260604522
4817,1/14/2021,10:00,N,SPP_MEAN,9.369669109
4832,1/14/2021,11:00,N,SPP_MEAN,10.60472701
4847,1/14/2021,12:00,N,SPP_MEAN,14.34047608
4862,1/14/2021,13:00,N,SPP_MEAN,18.88897931
4877,1/14/2021,14:00,N,SPP_MEAN,29.68026429
4892,1/14/2021,15:00,N,SPP_MEAN,16.53597232
4907,1/14/2021,16:00,N,SPP_MEAN,14.46749156
4922,1/14/2021,17:00,N,SPP_MEAN,12.21938592
4937,1/14/2021,18:00,N,SPP_MEAN,10.78882526
4952,1/14/2021,19:00,N,SPP_MEAN,9.283919712
4967,1/14/2021,20:00,N,SPP_MEAN,10.46906476
4982,1/14/2021,21:00,N,SPP_MEAN,9.778471153
4997,1/14/2021,22:00,N,SPP_MEAN,11.08327101
5012,1/14/2021,23:00,N,SPP_MEAN,15.40418632
5027,1/14/2021,24:00:00,N,SPP_MEAN,22.45180371
5042,1/15/2021,1:00,N,SPP_MEAN,22.96295716
5057,1/15/2021,2:00,N,SPP_MEAN,18.94093472
5072,1/15/2021,3:00,N,SPP_MEAN,13.90419676
5087,1/15/2021,4:00,N,SPP_MEAN,10.4103678
