,COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,FUEL_TYPE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,Industry,Label,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group,Temperature Band
0,Brazoria,48039,1004368,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1004368,4884.978072,20101.71675014,1.094080693,5583814.6754203895,637.4217666005011,NG_Type,100-300 C
0,Brazoria,48039,1004368,325211,Landfill Gas,325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1004368,0.0,0.0,0.0,0.0,0.0,NG_Type,100-300 C
0,HARRIS,48201,1001711,325199,Natural Gas (Weighted U.S. Average),325199,2015,TX,900,Other Basic Organic Chemicals,Other Basic Organic Chemicals_1001711,1581.923389,1581.923389,0.079638944,439423.515149642,50.16250172941119,NG_Type,850+ C
0,DEAF SMITH,48117,1004799,325193,Natural Gas (Weighted U.S. Average),325193,2015,TX,450,Ethyl Alcohol,Ethyl Alcohol_1004799,1338.5060427,1338.5060427,0.067384558,371807.53152912064,42.44378213802747,NG_Type,300-550 C
0,DEAF SMITH,48117,1004799,325193,Natural Gas (Weighted U.S. Average),325193,2015,TX,233,Ethyl Alcohol,Ethyl Alcohol_1004799,607.6653200000001,607.6653200000001,0.030591762,168796.05725896003,19.26895630810046,NG_Type,100-300 C
0,DEAF SMITH COUNTY,48117,1000352,325193,Natural Gas (Weighted U.S. Average),325193,2015,TX,450,Ethyl Alcohol,Ethyl Alcohol_1000352,928.1518518999999,928.1518518999999,0.046726051,257820.1651170782,29.431525698296596,NG_Type,300-550 C
0,DEAF SMITH COUNTY,48117,1000352,325193,Natural Gas (Weighted U.S. Average),325193,2015,TX,233,Ethyl Alcohol,Ethyl Alcohol_1000352,421.36955240000003,421.36955240000003,0.021213054,117047.19152656721,13.361551544128677,NG_Type,100-300 C
0,HALE,48189,1007819,325193,Natural Gas (Weighted U.S. Average),325193,2015,TX,450,Ethyl Alcohol,Ethyl Alcohol_1007819,1545.1760593999998,1545.1760593999998,0.07778896900000001,429215.9154280132,48.997250619636205,NG_Type,300-550 C
0,HALE,48189,1007819,325193,Natural Gas (Weighted U.S. Average),325193,2015,TX,233,Ethyl Alcohol,Ethyl Alcohol_1007819,701.4909717,701.4909717,0.035315237,194858.75913688264,22.244150586402128,NG_Type,100-300 C
0,HOCKLEY,48219,1010607,325193,Natural Gas (Weighted U.S. Average),325193,2015,TX,450,Ethyl Alcohol,Ethyl Alcohol_1010607,753.2275619,753.2275619,0.037919818,209230.0456894582,23.88470841203861,NG_Type,300-550 C
0,HOCKLEY,48219,1010607,325193,Natural Gas (Weighted U.S. Average),325193,2015,TX,233,Ethyl Alcohol,Ethyl Alcohol_1010607,341.956071,341.956071,0.017215132,94987.87349023801,10.843364553680138,NG_Type,100-300 C
